 authid |   name    |                                      name                                       | count 
  21694 | Yan Zhang | CISST                                                                           |     1
   6036 | Wei Wang  | IEEE J. Biomedical and Health Informatics                                       |     2
   6036 | Wei Wang  | CCNC                                                                            |     2
  21694 | Yan Zhang | ISPACS                                                                          |     1
   4040 | Wei Liu   | PLoS Computational Biology                                                      |     1
  21694 | Yan Zhang | Journal of Research and Practice in Information Technology                      |     1
   4040 | Wei Liu   | Simulation Modelling Practice and Theory                                        |     1
   4040 | Wei Liu   | VTC Fall                                                                        |     7
   6036 | Wei Wang  | IEEE Communications Letters                                                     |     5
  21694 | Yan Zhang | IEEE Transactions on Wireless Communications                                    |     9
  21694 | Yan Zhang | Database                                                                        |     2
  21694 | Yan Zhang | TIIS                                                                            |     2
   6036 | Wei Wang  | J. Applied Mathematics                                                          |     6
  21694 | Yan Zhang | Networks                                                                        |     1
   6036 | Wei Wang  | IEEE Congress on Evolutionary Computation                                       |     3
  21694 | Yan Zhang | JAMIA                                                                           |     1
   6036 | Wei Wang  | FSKD (1)                                                                        |     3
   6036 | Wei Wang  | RAM                                                                             |     1
   4040 | Wei Liu   | AINA                                                                            |     1
   6036 | Wei Wang  | IEEE Transactions on Image Processing                                           |     3
   6036 | Wei Wang  | GRAPHITE                                                                        |     1
   4040 | Wei Liu   | SLSP                                                                            |     1
   4040 | Wei Liu   | SwSTE                                                                           |     1
   6036 | Wei Wang  | MSR                                                                             |     3
   6036 | Wei Wang  | SSDBM                                                                           |     1
   4040 | Wei Liu   | CHI Extended Abstracts                                                          |     2
  21694 | Yan Zhang | CIT/IUCC/DASC/PICom                                                             |     1
  21694 | Yan Zhang | IIH-MSP                                                                         |     2
   4040 | Wei Liu   | Information Systems Perspectives and Challenges in the Context of Globalization |     1
   6036 | Wei Wang  | IWBRS                                                                           |     1
   6036 | Wei Wang  | GLOBECOM                                                                        |    12
   6036 | Wei Wang  | JCIT                                                                            |     1
   4040 | Wei Liu   | ICIP (1)                                                                        |     2
  21694 | Yan Zhang | CCTA (1)                                                                        |     1
   4040 | Wei Liu   | CIMCA/IAWTIC                                                                    |     2
   4040 | Wei Liu   | Australasian Conference on Artificial Intelligence                              |     6
   6036 | Wei Wang  | GCC                                                                             |     5
  21694 | Yan Zhang | Information Systems Frontiers                                                   |     1
  21694 | Yan Zhang | ECUMN                                                                           |     1
   6036 | Wei Wang  | CSAR@SenSys                                                                     |     1
   6036 | Wei Wang  | SACMAT                                                                          |     1
   6036 | Wei Wang  | SKG                                                                             |     2
   6036 | Wei Wang  | KDD                                                                             |     2
  21694 | Yan Zhang | APWeb                                                                           |     3
